School Name,Address,Phone Number,Email Address,Grades Served,School Type
Dudley Street Neighborhood School,"6 Shirley St Roxbury, MA 02119",(617) 635-8507,dudleystreetschool@bostonpublicschools.org,1 - 5,In-District Charter School
East Boston Early Education Center,"135 Gove St East Boston, MA 02128",(617) 635-6456,,0 - 1,Traditional
Edison Elementary School,"60 Glenmont Rd Brighton, MA 02135",(617) 635-8436,,1 - 6,Traditional
Eliot K-8 Innovation School - Lower,"16 Charter St North End, MA 02113",(617) 635-8388,,1 - 1,Innovation School
Ellis Elementary School,"302 Walnut Ave Roxbury, MA 02119",(617) 635-8257,,0 - 6,Traditional
Ellison-Parks Early Education School,"108 Babson St Mattapan, MA 02126",(617) 635-7680,,0 - 3,Traditional
Everett Elementary School,"71 Pleasant St Dorchester, MA 02125",(617) 635-8779,,0 - 6,Traditional
Gardner Pilot Academy,"30 Athol St Allston, MA 02134",(617) 635-8365,,0 - 8,Pilot
Greenwood Sarah K-8 School,"186 Glenway Street Dorchester, MA 02121",(617) 635-8710,,1 - 8,Traditional
Grew Elementary School,"40 Gordon Ave Hyde Park, MA 02136",(617) 635-8715,,1 - 6,Traditional
Guild Elementary School,"195 Leyden St East Boston, MA 02128",(617) 635-8523,,0 - 6,Traditional
Hale Elementary School,"51 Cedar St Roxbury, MA 02119",(617) 635-8205,,1 - 6,Traditional
Haley Pilot School,"570 Amer Legion Hwy Roslindale, MA 02131",(617) 635-8169,,0 - 6,Pilot
Harvard-Kent Elementary School,"50 Bunker Hill St Charlestown, MA 02129",(617) 635-8358,,0 - 6,Traditional
Haynes Early Education Center,"263 Blue Hill Ave Roxbury, MA 02119",(617) 635-6446,,0 - 1,Traditional
Henderson K-12 Inclusion School Lower,"1669 Dorchester Ave Dorchester, MA 02122",(617) 635-8725,,0 - 1,Innovation School
Hennigan Elementary School,"200 Heath St Jamaica Plain, MA 02130",(617) 635-8264,,2 - 8,Traditional
Hernandez Dual Language Elementary,"61 School St Roxbury, MA 02119",(617) 635-8187,,1 - 6,Traditional
Higginson Inclusion K0-2 School,"160 Harrishof Street Roxbury, MA 02119",(617) 635-8909,,0 - 2,Traditional
Holmes Elementary School,"40 School St Dorchester, MA 02124",(617) 635-8681,,0 - 6,Innovation School
Horace Mann School for the Deaf Hard of Hearing,28 Walker St Charlestown 02129,(617) 635-8534,,0 - 12,Specialized Ed
Hurley K-8 School,"70 Worcester St South End, MA 02118",(617) 635-8489,,0 - 8,Traditional
Kennedy John F Elementary School,"7 Bolster St Jamaica Plain, MA 02130",(617) 635-8127,jkennedy@bostonpublicschools.org,1 - 6,Traditional
Kennedy Patrick J Elementary School,"343 Saratoga St East Boston, MA 02128",(617) 635-8466,pkennedy@bostonpublicschools.org,0 - 6,Traditional
Kenny Elementary School,"19 Oakton Ave Dorchester, MA 02122",(617) 635-8789,kenny@bostonpublicschools.org,0 - 6,Traditional
Kilmer K-8 School (K-3),"35 Baker St West Roxbury, MA 02132",(617) 635-8060,kilmer@bostonpublicschools.org,0 - 3,Traditional
King Elementary School,"77 Lawrence Ave Dorchester, MA 02121",(617) 635-8212,king@bostonpublicschools.org,0 - 6,Traditional
Lee Academy,"25 Dunbar Av Dorchester, MA 02124",(617) 635-8618,,0 - 3,Pilot
Lee K-8 School,"155 Talbot Ave Dorchester, MA 02124",(617) 635-8687,,0 - 8,Traditional
Lyndon K-8 School,"20 Mt Vernon St West Roxbury, MA 02132",(617) 635-6824,lyndon@bostonpublicschools.org,1 - 8,Pilot
Lyon K-8 School,"50 Beechcroft St Brighton, MA 02135",(617) 635-7945,lyon@bostonpublicschools.org,2 - 8,Traditional
Manning Elementary School,"130 Louders Lane Jamaica Plain, MA 02130",(617) 635-8102,manning@bostonpublicschools.org,0 - 6,Traditional
Mario Umana Academy,"312 Border St East Boston, MA 02128",(617) 635-8481,umana@bostonpublicschools.org,0 - 8,Traditional
Mason Elementary School,"150 Norfolk Ave Roxbury, MA 02119",(617) 635-8405,mason@bostonpublicschools.org,0 - 5,Pilot
Mather Elementary School,"24 Parish St Dorchester, MA 02122",(617) 635-8757,mather@bostonpublicschools.org,1 - 6,Traditional
Mattahunt Elementary School,"123 Alabama St Mattapan, MA 02126",(617) 635-8792,mattahunt@bostonpublicschools.org,0 - 6,Traditional
McKay K-8 School,"122 Cottage St East Boston, MA 02128",(617) 635-8510,mckay@bostonpublicschools.org,1 - 8,Traditional
Mel H King - Elementary,"90 Warren Ave Back Bay, MA 02116",(617) 635-9978,,0 - 5,Specialized Ed
Mendell Elementary School,"164 School St Roxbury, MA 02119",(617) 635-8234,mendell@bostonpublicschools.org,0 - 6,Traditional
Mildred Avenue K-8 School,"5 Mildred Ave Mattapan, MA 02126",(617) 635-1642,mildredave@bostonpublicschools.org,1 - 8,Traditional
Mozart Elementary School,"236 Beech St Roslindale, MA 02131",(617) 635-8082,mozart@bostonpublicschools.org,0 - 6,Traditional
Murphy K-8 School,"1 Worrell St Dorchester, MA 02122",(617) 635-8781,murphy@bostonpublicschools.org,0 - 8,Traditional
O'Donnell Elementary School,"33 Trenton St East Boston, MA 02128",(617) 635-8454,esproviero@bostonpublicschools.org,1 - 6,Traditional
Orchard Gardens K-8 School,"906 Albany St Roxbury, MA 02119",(617) 635-1656,orchardgardens@bostonpublicschools.org,0 - 8,Pilot
Otis Elementary School,"218 Marion St East Boston, MA 02128",(617) 635-8372,otis@bostonpublicschools.org,0 - 6,Traditional
Perkins Elementary School,"50 Rev Burke St South Boston, MA 02127",(617) 635-8601,perkins@bostonpublicschools.org,2 - 6,Traditional
Perry Elementary School,"745 E Seventh St South Boston, MA 02127",(617) 635-8840,perry@bostonpublicschools.org,1 - 6,Traditional
Philbrick Elementary School,"40 Philbrick St Roslindale, MA 02131",(617) 635-8069,philbrick@bostonpublicschools.org,0 - 6,Traditional
Quincy Elementary School,"885 Washington St South End, MA 02111",(617) 635-8497,,0 - 5,Traditional
Roosevelt K-8 School (K1-1),"30 Millstone Rd Hyde Park, MA 02136",(617) 635-8676,roosevelt@bostonpublicschools.org,0 - 1,Traditional
Russell Elementary School,"750 Columbia Rd Dorchester, MA 02125",(617) 635-8803,russell@bostonpublicschools.org,0 - 5,Traditional
Shaw-Taylor Elementary School (K-1),"429 Norfolk St Dorchester, MA 02124",(617) 635-8777,adavis8@bostonpublicschools.org,1 - 1,Traditional
Sumner Elementary School,"15 Basile St Roslindale, MA 02131",(617) 635-8131,sumner@bostonpublicschools.org,1 - 6,Traditional
Tobin K-8 School,"40 Smith St Roxbury, MA 02120",(617) 635-8393,,0 - 8,Traditional
Trotter Elementary School,"135 Humboldt Ave Dorchester, MA 02121",(617) 635-8225,trotter@bostonpublicschools.org,0 - 6,Traditional
Tynan Elementary School,"650 E Fourth St South Boston, MA 02127",(617) 635-8641,tynan@bostonpublicschools.org,0 - 6,Traditional
UP Academy Dorchester,"35 Westville St 02124 Dorchester, MA 02121",(617) 635-8810,info@upacademydorchester.org,1 - 8,Horace Mann (In-District) Charter
UP Academy Holland,"85 Olney St Dorchester, MA 02121",(617) 635-8832,holland@bostonpublicschools.org,1 - 6,Traditional
Warren-Prescott K-8 School,"50 School St Charlestown, MA 02129",(617) 635-8346,warren-prescott@bostonpublicschools.org,0 - 8,Traditional
West Zone Early Learning Center,"200 Heath St Jamaica Plain, MA 02130",(617) 635-8275,wzelc@bostonpublicschools.org,0 - 1,Traditional
Winship Elementary School,"54 Dighton St Brighton, MA 02135",(617) 635-8399,winship@bostonpublicschools.org,0 - 6,Traditional
Winthrop Elementary School,"35 Brookford St Dorchester, MA 02125",(617) 635-8379,winthrop@bbostonpublicschools.org,0 - 6,Traditional
Young Achievers K-8 School,"20 Outlook Rd Mattapan, MA 02126",(617) 635-6804,youngachievers@bostonpublicschools.org,0 - 8,Pilot
Carter School,"270 Columbia Rd Dorchester, MA 02121",(617) 635-9832,carter@bostonpublicschools.org,5 - 12,Non-Traditional/Specialized
Dearborn 6-12 STEM Academy,"36 Winthrop St Roxbury, MA 02119",(617) 635-8412,dearborn@bostonpublicschools.org,6 - 12,Traditional
Eliot K-8 Innovation School - Intermediate,"173 Salem Street North End, MA 02113",(617) 635-8545,,2 - 4,Innovation School
Eliot K-8 Innovation School - Upper,"585 Commercial St North End, MA 02113",(617) 635-8545,,5 - 8,Innovation School
Henderson K-12 Inclusion School Upper,"18 Croftland Ave Dorchester, MA 02124",(617) 635-6365,,2 - 12,Innovation School
Higginson-Lewis 3-8 School,"131 Walnut Ave Roxbury, MA 02119",(617) 635-8247,,3 - 8,Inclusion
Kilmer K-8 School (4-8),"140 Russett Rd West Roxbury, MA 02132",(617) 635-6855,kilmer@bostonpublicschools.org,4 - 8,Traditional
Mel H King - Middle,"50 St Mary St Fenway, MA 02215",(617) 635-9853,,6 - 8,Specialized Ed
Mel H King South End Academy,"90 Warren Ave Back Bay, MA 02116",(617) 635-9976,,6 - 12,Specialized Ed
Ohrenberger School (3-8),"175 W Boundary Rd West Roxbury, MA 02132",(617) 635-8157,ohrenberger@bostonpublicschools.org,3 - 8,Traditional
Quincy Upper School,"900 Washington Street Boston, MA 02116",(617) 635-8940,quincyupper@bostonpublicschools.org,6 - 12,Pilot
Roosevelt K-8 School (2-8),"95 Needham Rd Hyde Park, MA 02136",(617) 635-8676,,2 - 8,Traditional
Shaw-Taylor Elementary School (2-6),"1060 Morton St Mattapan, MA 02126",(617) 635-8731,taylor@bostonpublicschools.org,2 - 6,Traditional
UP Academy Boston,"215 Dorchester Street South Boston, MA 02127",(617) 635-8819,info@upacademyboston.org,6 - 8,Horace Mann (In-District) Charter
Albert Holland School of Technology,"60 Washington St Dorchester, MA 02121",(617) 635-9837,burke@bostonpublicschools.org,7 - 12,Traditional
Another Course to College,"612 Metropolitan Avenue. Hyde Park, MA 02136",(617) 635-8865,acc@bostonpublicschools.org,9 - 12,Pilot
Boston Adult Tech Academy,"20 Church Street Boston, MA 02116",(617) 635-1542,adultacad@bostonpublicschools.org,11 - 12,Special
Boston Arts Academy,"174 Ipswich Street Boston, MA 02215",(617) 635-6470,artsacademy@bostonpublicschools.org,9 - 12,Pilot
Boston Collaborative High School,"215 Dorchester St South Boston, MA 02127",(617) 635-8035,,9 - 12,Alternative
Boston Day-Evening Academy,"20 Kearsarge Ave Roxbury, MA 02119",(617) 635-6789,,9 - 12,In-District Charter School
Boston Green Academy,"20 Warren Street Brighton, MA 02135",(617) 635-9860,info@bostongreenacademy.org,7 - 12,Horace Mann (In-District) Charter School
Boston International High School,"100 Maxwell St Dorchester, MA 02124",(617) 635-9373,bihs@bostonpublicschools.org,9 - 12,Regular
Boston Latin Academy,"205 Townsend St Boston, MA 02121",(617) 635-9957,academy@bostonpublicschools.org,7 - 12,Exam
Boston Latin School,"78 Avenue Louis Pasteur. Boston, MA 02115",(617) 635-8895,latin@bostonpublicschools.org,7 - 12,Exam
Brighton High School,"25 Warren St Brighton, MA 02135",(617) 635-9873,brighton@bostonpublicschools.org,7 - 12,Traditional
Charlestown High School,"240 Medford St Charlestown, MA 02129",(617) 635-9914,charlestown@bostonpublicschools.org,7 - 12,Traditional
Community Academy,"25 Glen Rd Jamaica Plain, MA 02130",(617) 635-7734,commacad@bostonpublicschools.org,9 - 12,Traditional
Community Academy of Science and Health,"11 Charles St Dorchester, MA 02122",(617) 635-8950,CASH@bostonpublicschools.org,9 - 12,Traditional
East Boston High School,"86 White St East Boston, MA 02128",(617) 635-9896,,7 - 12,Traditional
English High School,"144 McBride St Jamaica Plain, MA 02130",(617) 635-8979,,7 - 12,Traditional
Excel High School,"95 G St South Boston, MA 02127",(617) 635-9870,,9 - 12,Traditional
Fenway High School,"67 Alleghany Street Fenway, MA 02215",(617) 635-9911,,9 - 12,Pilot
Frederick Pilot Middle School,"270 Columbia Rd Dorchester, MA 02121",(617) 635-1650,,7 - 8,Pilot
Greater Egleston High School,"80 School St Roxbury, MA 02119",(617) 635-6429,,9 - 12,Pilot
Kennedy Academy for Health Careers (11-12),"384 Warren St Roxbury, MA 02119",(617) 635-8650,healthcareers@bostonpublicschools.org,11 - 12,In-District Charter School
Kennedy Academy for Health Careers (9-10),"10 Fenwood Rd Boston, MA 02115",(617) 635-8450,,9 - 10,In-District Charter School
Lyon High School,"95 Beechcroft St Brighton, MA 02135",(617) 635-8351,lyonupper@bostonpublicschools.org,9 - 12,Pilot
Madison Park Technical Vocational High School,"75 Malcolm X Blvd Roxbury, MA 02120",(617) 635-8970,madisonparkadmissions@bostonpublicschools.org,9 - 12,Innovation School
Margarita Muniz Academy,"20 Child St Jamaica Plain, MA 02130",(617) 635-8198,munizacademy@bostonpublicschools.org,9 - 12,Innovation School
Mel H King - Prep,"97 Peterborough St Fenway, MA 02215",(617) 635-9907,,9 - 12,Specialized Ed
New Mission High School,"655 Metropolitan Avenue Hyde Park, MA 02136",(617) 635-6437,newmission@bostonpublicschools.org,7 - 12,Pilot
Newcomers Academy,"100 Maxwell St Dorchester, MA 02124",(617) 635-7993,bihs@bostonpublicschools.org,9 - 12,Traditional
O'Bryant School of Math & Science,"55 Malcolm X Blvd Roxbury, MA 02120",(617) 635-9932,obryant@bostonpublicschools.org,7 - 12,Exam
Ruth Batson Academy,"315 Mt Vernon St Dorchester, MA 02125",(617) 635-8657,,7 - 12,Pilot
Snowden International High School,"150 Newbury Street Back Bay, MA 02116",(617) 635-9989,snowden@bostonpublicschools.org,9 - 12,Traditional
TechBoston Academy,"9 Peacevale Rd Dorchester, MA 02124",(617) 635-1615,techbostonacad@bostonpublicschools.org,7 - 12,Pilot
